iter	AUC	CrossEntropy	AUC
115	0.9526509293	0.6298784639	0.9526509293
116	0.9527844951	0.6293398556	0.9527844951
117	0.9526157804	0.6289547319	0.9526157804
118	0.952693108	0.6284334655	0.952693108
119	0.9526263251	0.6280364172	0.9526263251
120	0.9524997891	0.6276600251	0.9524997891
121	0.9525489976	0.6272098335	0.9525489976
122	0.9524997891	0.6268011225	0.9524997891
123	0.9526087507	0.6262268696	0.9526087507
124	0.9528231589	0.6257091666	0.9528231589
125	0.9529075162	0.6251866638	0.9529075162
126	0.9530024182	0.6246623939	0.9530024182
127	0.9529707842	0.6240908763	0.9529707842
128	0.95278801	0.6235776667	0.95278801
129	0.952661474	0.6231303028	0.952661474
130	0.9525560273	0.6227213829	0.9525560273
131	0.9525384529	0.6223122089	0.9525384529
132	0.9525595422	0.6218640197	0.9525595422
133	0.9524540955	0.6214670394	0.9524540955
134	0.952281866	0.6212191984	0.952281866
135	0.9522572618	0.6207866655	0.9522572618
136	0.9522678064	0.6203187351	0.9522678064
137	0.9523943424	0.619697129	0.9523943424
138	0.9523732531	0.6192815579	0.9523732531
139	0.9525454827	0.6188035266	0.9525454827
140	0.9526157804	0.6183951222	0.9526157804
141	0.9526649889	0.6179250837	0.9526649889
142	0.9528477631	0.617399853	0.9528477631
143	0.9529672694	0.616809082	0.9529672694
144	0.9530305374	0.6163240869	0.9530305374
145	0.9530270225	0.6157851677	0.9530270225
146	0.9531148947	0.6152236064	0.9531148947
147	0.9533082136	0.6147096174	0.9533082136
148	0.9533398476	0.6142777035	0.9533398476
149	0.9533820263	0.6137782391	0.9533820263
150	0.9537862385	0.6131666015	0.9537862385
151	0.9536597025	0.6127873801	0.9536597025
152	0.9537792087	0.6122479049	0.9537792087
153	0.9536913365	0.6117938456	0.9536913365
154	0.9536315834	0.6113998194	0.9536315834
155	0.9538741107	0.6108561393	0.9538741107
156	0.9538565363	0.610510526	0.9538565363
157	0.9541377274	0.6100056525	0.9541377274
158	0.9541693614	0.6095325843	0.9541693614
159	0.9541236679	0.6090318815	0.9541236679
160	0.9541658465	0.6085758153	0.9541658465
161	0.9541693614	0.6082232074	0.9541693614
162	0.9540217361	0.6079401768	0.9540217361
163	0.9540639147	0.6074910454	0.9540639147
164	0.9541342125	0.6069889175	0.9541342125
165	0.9540850041	0.6066115501	0.9540850041
166	0.9542502039	0.6061813686	0.9542502039
167	0.9541658465	0.60572302	0.9541658465
168	0.9540920339	0.6053844293	0.9540920339
169	0.9542502039	0.604901507	0.9542502039
170	0.9543943143	0.6045363583	0.9543943143
171	0.9546016928	0.6039798464	0.9546016928
172	0.9544646121	0.6035590951	0.9544646121
173	0.954499761	0.603074548	0.954499761
174	0.9544400079	0.6026037579	0.9544400079
175	0.954594663	0.6021321135	0.954594663
176	0.9547352586	0.6015592447	0.9547352586
177	0.9546965948	0.6011271447	0.9546965948
178	0.9546052077	0.6007459258	0.9546052077
179	0.9547317437	0.6003065172	0.9547317437
180	0.9546473863	0.5999262665	0.9546473863
181	0.9548863988	0.5995011686	0.9548863988
182	0.9549215477	0.599021	0.9549215477
183	0.9553925428	0.5983227289	0.9553925428
184	0.955385513	0.5979900301	0.955385513
185	0.9555331384	0.5976110526	0.9555331384
186	0.9556245255	0.5971500458	0.9556245255
187	0.9556280404	0.5966199333	0.9556280404
188	0.9559865591	0.5961180612	0.9559865591
189	0.9558248742	0.5958395363	0.9558248742
190	0.9557616062	0.5954550536	0.9557616062
191	0.9556877935	0.5950874691	0.9556877935
192	0.9556842786	0.5945874701	0.9556842786
193	0.9556877935	0.594242056	0.9556877935
194	0.955926806	0.5938106457	0.955926806
195	0.9560111633	0.5933938804	0.9560111633
196	0.9559303208	0.5930003559	0.9559303208
197	0.9558740826	0.5927360523	0.9558740826
198	0.9558635379	0.5922634979	0.9558635379
199	0.9558143295	0.5918588168	0.9558143295
200	0.9557651211	0.591514965	0.9557651211
201	0.9561271546	0.5909703898	0.9561271546
202	0.9559478953	0.5905538228	0.9559478953
203	0.9558354188	0.5900674364	0.9558354188
204	0.9558881422	0.5896497943	0.9558881422
205	0.9559549251	0.589223213	0.9559549251
206	0.9560955206	0.5887240328	0.9560955206
207	0.9561271546	0.588278307	0.9561271546
208	0.9560990355	0.5877571736	0.9560990355
209	0.9562079971	0.5873541498	0.9562079971
210	0.9562009673	0.5869891186	0.9562009673
211	0.9563239884	0.5864706837	0.9563239884
212	0.9563450777	0.5860705728	0.9563450777
213	0.9562993842	0.5856046849	0.9562993842
214	0.9566614178	0.5850314419	0.9566614178
215	0.9565805753	0.5845471949	0.9565805753
216	0.9567703793	0.5840249659	0.9567703793
217	0.9568336473	0.5835175074	0.9568336473
218	0.9569566684	0.5830335997	0.9569566684
219	0.9568934004	0.5825718836	0.9568934004
220	0.9568406771	0.582148304	0.9568406771
221	0.9566579029	0.5816965133	0.9566579029
222	0.9567071113	0.5813079336	0.9567071113
223	0.9567914687	0.5809362065	0.9567914687
224	0.9567844389	0.5805785539	0.9567844389
225	0.9568055282	0.5802464862	0.9568055282
226	0.9569250344	0.5797191503	0.9569250344
227	0.957255434	0.5792992478	0.957255434
228	0.9570726598	0.5789957003	0.9570726598
229	0.9570726598	0.5786089941	0.9570726598
230	0.9572097405	0.5782623947	0.9572097405
231	0.9573011276	0.5778584423	0.9573011276
232	0.9573046425	0.5775352455	0.9573046425
